time,painel_fotovoltaico_tensao,painel_fotovoltaico_corrente,painel_fotovoltaico_potencia,painel_fotovoltaico_temperatura,painel_fotovoltaico_radiacao,painel_fotovoltaico_inclinacao,eletrolisador_tensao,eletrolisador_corrente,eletrolisador_densidade_corrente,eletrolisador_temperatura,eletrolisador_caudal_H2,eletrolisador_caudal_H2O,eletrolisador_pressao,eletrolisador_potencia,tanque_pressao,tanque_volume,tanque_temperatura,celula_combustivel_tensao,celula_combustivel_corrente,celula_combustivel_temperatura,celula_combustivel_caudal_H2,celula_combustivel_caudal_H2O,celula_combustivel_pressao,celula_combustivel_potencia,bateria_tensao,bateria_corrente,bateria_temperatura,bateria_soc,rede_tensao,rede_corrente
0,48,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5,0,0
1,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5,0,20
2,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000113888888889,0,20
3,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000227777777777,0,20
4,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000341666666666,0,20
5,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000455555555554,0,20
6,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000569444444443,0,20
7,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000683333333331,0,20
8,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500079722222222,0,20
9,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5000911111111108,0,20
10,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001024999999997,0,20
11,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001138888888885,0,20
12,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001252777777774,0,20
13,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001366666666662,0,20
14,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001480555555551,0,20
15,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001594444444439,0,20
16,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001708333333328,0,20
17,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001822222222216,0,20
18,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5001936111111105,0,20
19,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002049999999993,0,20
20,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002163888888882,0,20
21,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500227777777777,0,20
22,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002391666666659,0,20
23,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002505555555548,0,20
24,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002619444444436,0,20
25,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002733333333325,0,20
26,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002847222222213,0,20
27,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5002961111111102,0,20
28,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500307499999999,0,20
29,48,5.824966301080388,279.59838245185864,0,254.1803476835078,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003188888888879,0,20
30,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003377889338197,0,20
31,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003491778227086,0,20
32,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003605667115975,0,20
33,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003719556004863,0,20
34,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5003833444893752,0,20
35,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500394733378264,0,20
36,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004061222671529,0,20
37,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004175111560417,0,20
38,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004289000449306,0,20
39,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004402889338194,0,20
40,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004516778227083,0,20
41,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004630667115971,0,20
42,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500474455600486,0,20
43,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004858444893748,0,20
44,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5004972333782637,0,20
45,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005086222671525,0,20
46,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005200111560414,0,20
47,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005314000449302,0,20
48,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005427889338191,0,20
49,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500554177822708,0,20
50,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005655667115968,0,20
51,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005769556004857,0,20
52,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005883444893745,0,20
53,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5005997333782634,0,20
54,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006111222671522,0,20
55,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006225111560411,0,20
56,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006339000449299,0,20
57,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006452889338188,0,20
58,48,11.458333333333336,550.0000000000001,0,500,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006566778227076,0,20
59,48,20.444724422269676,981.3467722689444,15.5012382451412,945.4252937784681,0,0,0.0,0,0,0,0,0,0,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006680667115965,0,20
60,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006794556004853,0,20
61,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5006917056692767,0,20
62,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500703955738068,0,20
63,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007162058068594,0,20
64,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007284558756507,0,20
65,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007407059444421,0,20
66,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007529560132334,0,20
67,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007652060820248,0,20
68,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007774561508161,0,20
69,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5007897062196075,0,20
70,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008019562883989,0,20
71,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008142063571902,0,20
72,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008264564259816,0,20
73,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008387064947729,0,20
